"用例编号","模块","用例标题","操作步骤/请求","预期结果","优先级"
"API-U-07","API / Uploads","机器筛选","?machine_id=M001","data 中所有 upload 的 machine_id = M001","P0"
"API-U-08","API / Uploads","机器筛选空串","?machine_id=（空）","返回所有机器的 upload","P1"
"API-U-09","API / Uploads","machines 字段完整性","无论是否传 machine_id","machines 返回该 user 全部去重机器列表（不受 duration/machine_id 过滤）","P0"
"API-U-10","API / Uploads","pagination 结构","有 23 条，page_size=5","total=23；total_pages=5","P0"
"API-U-11","API / Uploads","qa_score 有值","upload status=REVIEW_FIRST_ROUND_SUCCEEDED，两个 reviewer 分别 80/90","qa_score = 85（AVG 取整）","P0"
"API-U-12","API / Uploads","qa_score 为 null","upload status=UPLOADING","qa_score: null","P0"
"API-U-13","API / Uploads","total_hrs 计算","2 个 episode 时长各 0.5h","total_hrs = 1.0","P0"
"API-U-14","API / Uploads","video_duration_seconds 精度","video_duration_hours = 0.1660278","video_duration_seconds = 597.7（保留 1 位小数）","P1"
"API-U-15","API / Uploads","episode_summary 统计","5 episodes：DERIVED_READY×3，FAILED×1，UPLOADING×1","total=5, derived_ready=3, failed=1, pending=1","P0"
"API-U-16","API / Uploads","task_name 来源 — scenario","task 有 scenario","task_name = scenario 值","P0"
"API-U-17","API / Uploads","task_name — 无 scenario","task 无 scenario","task_name = Task {task_id}","P1"
"API-U-18","API / Uploads","task_name — 无 task","upload 无关联 task","task_name = -","P1"
"API-U-19","API / Uploads","排序","多条 upload","按 created_at 倒序（最新在前）","P0"
"API-U-20","API / Uploads","duration 时间过滤","?duration=7d","仅返回 7 天内的 upload","P0"
"API-U-21","API / Uploads","无 token","无 token","400","P0"
"API-U-22","API / Uploads","非法 token","非法 token","401","P0"
"API-A-01","API / Admin","Admin token + user_id","有效 JWT（role=admin） + ?user_id=<valid>","200；返回目标 Operator 数据","P0"
"API-A-02","API / Admin","无 JWT","无 Authorization header","401；invalid or missing token","P0"
"API-A-03","API / Admin","JWT 有效但非 admin","role=operator 的 JWT","403；admin access required","P0"
"API-A-04","API / Admin","缺 user_id","admin JWT 但不带 user_id","400；user_id is required","P0"
"API-A-05","API / Admin","user_id 为字符串","?user_id=abc","400；user_id is required","P0"
"API-A-06","API / Admin","user_id 不存在","传不存在的 user_id","200；所有指标为 null/0","P1"
"API-A-07","API / Admin","Admin 与 Operator 数据一致","Admin 和 Operator A 自查同一账号同 duration","两接口返回数据完全相同","P0"
"E2E-NAV-01","E2E / 导航","进入 Dashboard","登录 Operator 账号 → 点击 Upload Data → 子导航点 Dashboard","导航至 /data/upload/dashboard；页面正常加载","P0"
"E2E-NAV-02","E2E / 导航","子导航只有两项","进入 Upload Data 区域","子导航仅显示 Upload 和 Dashboard；无 History","P0"
"E2E-NAV-03","E2E / 导航","Upload 子导航跳转","在 Dashboard 点子导航 Upload","跳至上传主页","P0"
"E2E-NAV-04","E2E / 导航","直接输入 URL","浏览器输入 /data/upload/dashboard","正常加载 Dashboard","P1"
"E2E-NAV-05","E2E / 导航","QA 角色访问","使用 QA 账号登录，访问 Dashboard","确认产品期望：无 Dashboard 入口或跳转","P1"
"E2E-DUR-01","E2E / 时间范围","默认范围","首次打开 Dashboard","Last 30 days 按钮高亮；指标与图表按 30 天数据加载","P0"
"E2E-DUR-02","E2E / 时间范围","切换 7d","点击 Last 7 days","按钮高亮切换；summary 与 uploads 重新请求（duration=7d）；分页重置为第 1 页","P0"
"E2E-DUR-03","E2E / 时间范围","切换 90d","点击 Last 90 days","同切换 7d 逻辑，duration=90d","P0"
"E2E-DUR-04","E2E / 时间范围","切换 This year","点击 This year","summary duration_label 显示 This year","P0"
"E2E-DUR-05","E2E / 时间范围","切换 All time","点击 All time","Avg Hrs / Day 副标题显示 All-time avg","P0"
"E2E-DUR-06","E2E / 时间范围","切换时关闭 Drawer","已打开 EpisodeDrawer 时切换时间范围","Drawer 关闭（setSelectedUpload(null)）","P1"
"E2E-MET-01","E2E / 指标卡","Avg QA Score 绿色","均值 ≥ 80","数值显示绿色（#4caf7d）","P0"
"E2E-MET-02","E2E / 指标卡","Avg QA Score 琥珀色","均值 60–79","数值显示琥珀色（#d4a84b）","P0"
"E2E-MET-03","E2E / 指标卡","Avg QA Score 红色","均值 < 60","数值显示红色（#e05c5c）","P0"
"E2E-MET-04","E2E / 指标卡","Avg QA Score 正 delta","当期均值高于上期","显示 ↑ X.X pts vs prior period（绿色）","P1"
"E2E-MET-05","E2E / 指标卡","Avg QA Score 负 delta","当期均值低于上期","显示 ↓ X.X pts vs prior period（红色）","P1"
"E2E-MET-06","E2E / 指标卡","Avg QA Score 无数据","无 SUCCEEDED upload","显示 —；无 delta","P0"
"E2E-MET-07","E2E / 指标卡","Total Episodes 计数","30d 内有 50 个 episode","显示 50","P0"
"E2E-MET-08","E2E / 指标卡","Total Episodes delta","上期 40 个，当期 50 个","显示 ↑ 25.0% vs prior period","P1"
"E2E-MET-09","E2E / 指标卡","Avg Hrs / Day 固定窗口","30d 总时长 30h","显示 1.0 h；副标题 Rolling last 30 days avg","P0"
"E2E-MET-10","E2E / 指标卡","Avg Hrs / Day All time","all duration，有时长数据","显示计算值；副标题 All-time avg","P1"
"E2E-MET-11","E2E / 指标卡","Avg Hrs / Day 无时长","所有 episode video_duration_hours 为 null","显示 —","P1"
"E2E-MET-12","E2E / 指标卡","加载态","网络延迟期间","指标卡显示骨架屏","P1"
"E2E-MET-13","E2E / 指标卡","加载失败","summary API 返回 500","指标显示 —；不崩溃","P0"
"E2E-CHT-01","E2E / 图表","QA trend 有数据","有多个时间桶的 QA 数据","折线图正常渲染；hover tooltip 显示具体分值","P0"
"E2E-CHT-02","E2E / 图表","QA trend Y 轴范围","任意数据","Y 轴固定 70–100","P1"
"E2E-CHT-03","E2E / 图表","QA trend 空态","无 SUCCEEDED upload","显示 No QA data for this period","P1"
"E2E-CHT-04","E2E / 图表","Hrs trend 有数据","有多个时间桶的时长数据","折线图正常渲染；tooltip 含 h 单位","P0"
"E2E-CHT-05","E2E / 图表","Hrs trend 空态","所有时长为 0","显示 No data for this period","P1"
"E2E-CHT-06","E2E / 图表","7d X 轴格式","duration=7d","X 轴 label 为星期缩写（Mon, Tue...）","P1"
"E2E-CHT-07","E2E / 图表","30d X 轴格式","duration=30d","X 轴 label 为 dd mon 格式","P1"
"E2E-CHT-08","E2E / 图表","1y X 轴格式","duration=1y","X 轴 label 为 yyyy mon 格式","P1"
"E2E-CHT-09","E2E / 图表","无动画","切换 duration","图表切换时无过渡动画（isAnimationActive=false）","P2"
"E2E-TBL-01","E2E / 上传表","列头","打开 Dashboard","表头：Upload ID / Task name / Upload time / Episodes / Total hrs / Quality score / Pass/Fail / Action（共 8 列）","P0"
"E2E-TBL-02","E2E / 上传表","Upload ID 展示","—","显示 upload_id 数值","P0"
"E2E-TBL-03","E2E / 上传表","Task name 来源","task 有 scenario","显示 scenario 名称","P0"
"E2E-TBL-04","E2E / 上传表","Upload time 格式","—","格式：M/D/YYYY, HH:MM（24h）","P1"
"E2E-TBL-05","E2E / 上传表","Episodes 计数","5 个 episode","显示 5","P0"
"E2E-TBL-06","E2E / 上传表","Total hrs — 正常值","total_hrs=1.5","显示 1.5 h","P0"
"E2E-TBL-07","E2E / 上传表","Total hrs — 小值","total_hrs=0.005","显示 0.01 h（2 位精度）","P1"
"E2E-TBL-08","E2E / 上传表","Total hrs — 0","total_hrs=0","显示 —","P0"
"E2E-TBL-09","E2E / 上传表","Quality score — 绿色","qa_score=90","绿点 + 绿色数字 90","P0"
"E2E-TBL-10","E2E / 上传表","Quality score — 无分","qa_score=null","显示 Scoring in progress（灰色）","P0"
"E2E-TBL-11","E2E / 上传表","Pass/Fail — 有 accepted+rejected","derived_ready=3, failed=1","显示 3 accepted 1 rejected + 占比色条","P0"
"E2E-TBL-12","E2E / 上传表","Pass/Fail — 全 pending","所有 episode pending","显示 Pending review","P1"
"E2E-TBL-13","E2E / 上传表","Continue 按钮显示","upload.status=UPLOADING","最右列出现 Continue 按钮","P0"
"E2E-TBL-14","E2E / 上传表","Continue 按钮跳转","点击 Continue","跳至 /data/upload，携带 resumeUpload state（upload_id/task_id/machine_id/status）","P0"
"E2E-TBL-15","E2E / 上传表","Continue 按钮不显示","upload.status=DERIVED_READY","无 Continue 按钮","P0"
"E2E-TBL-16","E2E / 上传表","空态","选中时间范围内无 upload","显示 No uploads for this period.","P1"
"E2E-TBL-17","E2E / 上传表","加载失败","uploads API 返回 500","表格显示错误文案；不崩溃","P0"
"E2E-PAG-01","E2E / 分页","每页 5 条","有 8 条 upload","第 1 页显示 5 条；底部 Showing 5 of 8","P0"
"E2E-PAG-02","E2E / 分页","翻到第 2 页","点击页码 2","加载第 6–8 条；Showing 3 of 8","P0"
"E2E-PAG-03","E2E / 分页","→ 按钮","当前页 < total_pages 时点击 →","跳到下一页","P0"
"E2E-PAG-04","E2E / 分页","切换 duration 重置分页","在第 2 页切换时间范围","回到第 1 页","P0"
"E2E-PAG-05","E2E / 分页","切换机器重置分页","在第 2 页切换机器","回到第 1 页","P0"
"E2E-PAG-06","E2E / 分页","总页数 1","只有 3 条 upload","底部无 → 按钮；仅显示页码 1","P1"
"E2E-MAC-01","E2E / 机器筛选","默认显示","打开 Dashboard","下拉按钮显示 All machines","P0"
"E2E-MAC-02","E2E / 机器筛选","打开下拉","点击触发按钮","展开机器列表；当前选中项高亮","P0"
"E2E-MAC-03","E2E / 机器筛选","选择特定机器","点击机器名","下拉关闭；按钮文本变为机器名；表格重新加载仅显示该机器 upload","P0"
"E2E-MAC-04","E2E / 机器筛选","选 All machines","下拉中点 All machines","不传 machine_id；恢复全部","P0"
"E2E-MAC-05","E2E / 机器筛选","点击外部关闭","打开下拉后点外部区域","下拉关闭","P1"
"E2E-MAC-06","E2E / 机器筛选","机器名长截断","机器名超过 200px","以 ellipsis 截断显示","P2"
"E2E-MAC-07","E2E / 机器筛选","无机器数据","该 Operator 无关联机器","仅 All machines 选项","P1"
"E2E-DRW-01","E2E / Episode Drawer","打开 Drawer","点击表格行","右侧弹出 EpisodeDrawer","P0"
"E2E-DRW-02","E2E / Episode Drawer","Drawer 头部信息","Drawer 打开后查看","标题：{upload_id} · {task_name}；4 格元信息（Upload ID / Upload time / Episodes / QA score）","P0"
"E2E-DRW-03","E2E / Episode Drawer","Drawer QA score 颜色","qa_score=85","颜色符合 ≥80 绿 / 60-79 琥珀 / <60 红规则","P0"
"E2E-DRW-04","E2E / Episode Drawer","Drawer QA score null","qa_score=null","显示 —（灰色）","P0"
"E2E-DRW-05","E2E / Episode Drawer","汇总行 accepted","derived_ready=4","显示 ✓ 4 accepted","P0"
"E2E-DRW-06","E2E / Episode Drawer","汇总行 rejected","failed=1","显示 ✕ 1 rejected","P0"
"E2E-DRW-07","E2E / Episode Drawer","汇总行 0 rejected","failed=0","无 rejected pill","P1"
"E2E-DRW-08","E2E / Episode Drawer","进度条","accepted=4, failed=1","填充比例 = 4/(4+1) = 80%","P1"
"E2E-DRW-09","E2E / Episode Drawer","筛选 All","默认或点 All","所有 episode 显示","P0"
"E2E-DRW-10","E2E / Episode Drawer","筛选 Accepted","点 Accepted","仅 is_derived_ready=true 的 episode","P0"
"E2E-DRW-11","E2E / Episode Drawer","筛选 Rejected","点 Rejected","仅 is_failed=true 的 episode","P0"
"E2E-DRW-12","E2E / Episode Drawer","筛选空结果","筛 Rejected 但无失败 episode","显示 No episodes to show.","P1"
"E2E-DRW-13","E2E / Episode Drawer","Episode 编号格式","episode_key=abc","显示 #abc（padStart 2 位）；episode_key 为空时用 episode_id","P1"
"E2E-DRW-14","E2E / Episode Drawer","Episode 时长","video_duration_seconds=597.6","显示 597.6s · 3 cams","P0"
"E2E-DRW-15","E2E / Episode Drawer","Episode 无时长","video_duration_seconds=null","显示 — · 3 cams","P1"
"E2E-DRW-16","E2E / Episode Drawer","Episode badge Accepted","is_derived_ready=true","绿色 Accepted badge","P0"
"E2E-DRW-17","E2E / Episode Drawer","Episode badge Rejected","is_failed=true","红色 Rejected badge","P0"
"E2E-DRW-18","E2E / Episode Drawer","Episode badge Pending","is_derived_ready=false 且 is_failed=false","灰色 Pending badge","P0"
"E2E-DRW-19","E2E / Episode Drawer","展开失败原因","点击 Rejected episode 行","展开 Failure reason 区域","P0"
"E2E-DRW-20","E2E / Episode Drawer","收起失败原因","再次点击已展开的 Rejected episode","内容收起","P0"
"E2E-DRW-21","E2E / Episode Drawer","失败原因 — failed_checks 映射","processing_error.details.failed_checks 含已知 key","显示对应可读文案，多条分号连接","P0"
"E2E-DRW-22","E2E / Episode Drawer","失败原因 — 未知 check key","failed_checks 含未映射 key","原始 key 直接显示","P1"
"E2E-DRW-23","E2E / Episode Drawer","失败原因 — error_message","无 failed_checks，有 error_message（非 mcap validation failed）","直接显示 error_message","P1"
"E2E-DRW-24","E2E / Episode Drawer","失败原因 — mcap_validation step","processing_error.step=mcap_validation","显示 MCAP validation failed","P1"
"E2E-DRW-25","E2E / Episode Drawer","Accepted episode 不展开","点击 Accepted episode 行","无展开内容","P1"
"E2E-DRW-26","E2E / Episode Drawer","切换筛选重置展开","展开一个 Rejected 后切换到 All","展开状态重置","P1"
"E2E-DRW-27","E2E / Episode Drawer","Escape 关闭","Drawer 打开时按 Escape","Drawer 关闭","P1"
"E2E-DRW-28","E2E / Episode Drawer","点击遮罩关闭","点击 Drawer 外部遮罩","Drawer 关闭","P0"
"E2E-DRW-29","E2E / Episode Drawer","点击 Drawer 内部不关闭","点击 Drawer 内部任意位置","Drawer 不关闭（stopPropagation）","P0"
"E2E-DRW-30","E2E / Episode Drawer","点击 × 按钮关闭","点 Drawer 右上角 ×","Drawer 关闭","P0"
"E2E-DRW-31","E2E / Episode Drawer","切换 upload 重置状态","关闭后点另一行","筛选器回到 All，展开态重置","P1"
"E2E-DRW-32","E2E / Episode Drawer","同行再次点击","点击已选中行","Drawer 关闭（toggle）","P1"
"E2E-ADM-01","E2E / Admin","Admin 页面加载","Admin 界面打开 Operator 的 Dashboard（传 adminUserId）","请求走 /vla/admin/operator-dashboard/*；user_id 附在请求中","P0"
"E2E-ADM-02","E2E / Admin","数据一致","Admin 查看 Operator A 与 Operator A 自查，同时间范围","两端数据相同","P0"
"E2E-ADM-03","E2E / Admin","Continue 按钮隐藏","Admin 模式下有 UPLOADING upload","无 Continue 按钮（!isAdminMode 条件）","P0"
"E2E-ADM-04","E2E / Admin","切换 duration","Admin 模式切换时间范围","user_id 始终附带；数据刷新","P1"
"E2E-ADM-05","E2E / Admin","机器筛选","Admin 模式筛选机器","machine_id + user_id 同时发送","P1"
"E2E-ADM-06","E2E / Admin","Admin token 过期","JWT 过期","请求返回 401；前端展示错误态","P1"
"E2E-ERR-01","E2E / 异常","Summary 请求失败","断网或 summary API 500","指标卡全部显示 —；不崩溃","P0"
"E2E-ERR-02","E2E / 异常","Uploads 请求失败","uploads API 500","表格显示错误文案；不崩溃","P0"
"E2E-ERR-03","E2E / 异常","零上传账号（Operator B）","使用无历史上传的 Operator 账号","指标全 — 或 0；图表空态；表格 No uploads for this period.","P1"
"E2E-ERR-04","E2E / 异常","全 null 时长","所有 episode video_duration_hours=null","avg_hrs_per_day=null（—）；total_hrs=0（—）","P1"
"E2E-ERR-05","E2E / 异常","processing_error 格式异常","processing_error 为损坏 JSON 字符串","后端解析为 {}；前端显示兜底文案 Episode failed processing","P1"
"E2E-ERR-06","E2E / 异常","total_hrs 极小值","total_hrs=0.003","显示 0.00 h（精度兜底）；不显示 —","P2"
"E2E-ERR-07","E2E / 异常","大量 episode","单次 upload 有 50 个 episode","Drawer 正常滚动渲染，无性能卡顿","P2"
"E2E-ERR-08","E2E / 异常","长机器名","machine_name 超 30 字符","MachineDropdown 截断显示；下拉选项完整","P2"
"E2E-ERR-09","E2E / 异常","并发翻页","快速连续点多个页码","以最后一次点击结果为准；无数据乱序","P2"
"E2E-ERR-10","E2E / 异常","无 Operator 权限","普通用户直接访问 /data/upload/dashboard","不显示 Dashboard；提示无权限或重定向","P0"
"E2E-ROT-01","E2E / 路由回归","旧 History URL","Operator 浏览器输入 /data/upload/history","验证实际落点（Upload 页或 Dashboard）；与产品确认期望行为","P1"
"E2E-ROT-02","E2E / 路由回归","旧书签 /data/history","直接访问 /data/history","Navigate 重定向链路不报 404","P1"
"E2E-ROT-03","E2E / 路由回归","刷新 Dashboard","在 /data/upload/dashboard 刷新","页面正常加载，不跳回首页","P1"
"E2E-ROT-04","E2E / 路由回归","浏览器前进/后退","在 Upload 和 Dashboard 之间跳转后 back/forward","路由状态正确恢复","P2"
"E2E-ROT-05","E2E / 路由回归","上传页子导航 Upload","在 Dashboard 点子导航 Upload","跳回上传主页，展示任务列表","P0"
